Sell_Min,Buy_Max,Name,TypeID,Region,Timestamp
12.13,12.12,Veldspar,1230,jita,2025-10-21 23:59:19
27.29,27.28,Scordite,1228,jita,2025-10-21 23:59:19
44.0,37.17,Pyroxeres,1224,jita,2025-10-21 23:59:19
45.98,33.4,Plagioclase,18,jita,2025-10-21 23:59:19
396.0,351.0,Omber,1227,jita,2025-10-21 23:59:19
887.6,817.5,Kernite,20,jita,2025-10-21 23:59:19
1795.0,381.9,Jaspet,1226,jita,2025-10-21 23:59:19
2003.0,2002.0,Hemorphite,1231,jita,2025-10-21 23:59:19
1185.0,970.0,Hedbergite,21,jita,2025-10-21 23:59:19
6000.0,4595.0,Dark Ochre,1232,jita,2025-10-21 23:59:19
2991.0,2790.0,Gneiss,1229,jita,2025-10-21 23:59:19
7990.0,7511.0,Crokite,1225,jita,2025-10-21 23:59:19
5500.0,3202.0,Bistot,1223,jita,2025-10-21 23:59:19
4850.0,3637.0,Arkonor,22,jita,2025-10-21 23:59:19
34000.0,21180.0,Mercoxit,11396,jita,2025-10-21 23:59:19
24000.0,13370.0,Spodumain,19,jita,2025-10-21 23:59:19
19000.0,11070.0,Bezdnacine,52316,jita,2025-10-21 23:59:19
50000.0,9241.0,Rakovene,52315,jita,2025-10-21 23:59:19
24960.0,7617.0,Talassonite,52306,jita,2025-10-21 23:59:19
4800.0,2407.0,Eifyrium,74529,jita,2025-10-21 23:59:19
639.9,492.1,Ytirium,74525,jita,2025-10-21 23:59:19
5400.0,4600.0,Ducinium,74533,jita,2025-10-21 23:59:19
74.97,28.26,Mordunium,74521,jita,2025-10-21 23:59:19
1350.0,226.1,Kylixium,81900,jita,2025-10-21 23:59:19
409.0,143.0,Griemeer,81975,jita,2025-10-21 23:59:19
0.0,722.0,Ueganite,82205,jita,2025-10-21 23:59:19
